Country,City,Airport name,IATA
French Polynesia,Anaa,Anaa Airport,AAA
Australia,Tanbar,Arrabury Airport,AAB
Egypt,El Arish,El Arish International Airport,AAC
Somalia,Adado,Adado Airport,AAD
Algeria,Annaba,Annaba Rabah Bitat Airport,AAE
United States of America,Apalachicola,Apalachicola Regional Airport,AAF
Brazil,Arapoti,Avelino Vieira Airport,AAG
Germany,Aachen,Aachen-Merzbrück Airport,AAH
Brazil,Arraias,Arraias Airport,AAI
Suriname,Awaradam,Cayana Airstrip,AAJ
Kiribati,Buariki,Aranuka Airport,AAK
Denmark,Aalborg,Aalborg Airport,AAL
South Africa,Malamala,Malamala Airport,AAM
United Arab Emirates,Al Ain,Al Ain International Airport,AAN
Venezuela,Anaco,Anaco Airport,AAO
Indonesia,Samarinda,Aji Pangeran Tumenggung Pranoto International Airport,AAP
Russia,Krasnyi Kurgan,Anapa Vityazevo Airport,AAQ
Denmark,Aarhus,Aarhus Airport,AAR
Indonesia,Apalapsili,Apalapsili Airport,AAS
China,Altay,Altay Xuedu Airport,AAT
Samoa,Asau,Asau Airport,AAU
Philippines,Surallah,Allah Valley Airport,AAV
Brazil,Arax�,Romeu Zema Airport,AAX
Yemen,Al Ghaydah,Al Ghaydah International Airport,AAY
Guatemala,Quezaltenango,Quezaltenango Airport,AAZ
Russia,Abakan,Abakan International Airport,ABA
Nigeria,Asaba,Asaba International Airport,ABB
Spain,Albacete,Albacete Airport / Los Llanos Air Base,ABC
Iran,Abadan,Abadan Airport,ABD
United States of America,Allentown,Lehigh Valley International Airport,ABE
Kiribati,Abaiang,Abaiang Airport,ABF
Australia,Abingdon Downs,Abingdon Downs Airport,ABG
Australia,Alpha,Alpha Airport,ABH
United States of America,Abilene,Abilene Regional Airport,ABI
Ivory Coast,Abidjan,Félix-Houphouët-Boigny International Airport,ABJ
Ethiopia,Kebri Dahar,Kebri Dahar Airport,ABK
United States of America,Ambler,Ambler Airport,ABL
Australia,Bamaga,Northern Peninsula Airport,ABM
Suriname,Albina,Albina Airport,ABN
Ivory Coast,Aboisso,Aboisso Airport,ABO
Papua New Guinea,Atkamba Mission,Atkamba Airport,ABP
United States of America,Albuquerque,Albuquerque International Sunport,ABQ
United States of America,Aberdeen,Aberdeen Regional Airport,ABR
Egypt,Abu Simbel,Abu Simbel Airport,ABS
Saudi Arabia,Al-Baha,King Saud Bin Abdulaziz (Al Baha) Airport,ABT
Indonesia,Atambua,AA Bere Tallo (Haliwen) Airport,ABU
Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV
Australia,Albury,Albury Airport,ABX
United States of America,Albany,Southwest Georgia Regional Airport,ABY
United Kingdom,Aberdeen,Aberdeen Dyce Airport,ABZ
Mexico,Ciudad de Acapulco,Aeropuerto Internacional Juan N. Álvarez,ACA
United States of America,Bellaire,Antrim County Airport,ACB
Ghana,Accra,Kotoka International Airport,ACC
Colombia,Acand� ,Alcides Fern�ndez Airport,ACD
Spain,San Bartolomé,César Manrique-Lanzarote Airport,ACE
China,Aral,Aral Tarim Airport,ACF
Switzerland,St. Gallen,Sankt Gallen Altenrhein Airport,ACH
Guernsey,Saint Anne,Alderney Airport,ACI
Sri Lanka,Anuradhapura,Anuradhapura Airport,ACJ
United States of America,Nantucket,Nantucket Memorial Airport,ACK
Mexico,Ciudad Acuña,Ciudad Acuña New International Airport,ACN
Iran,Maragheh,Sahand Airport,ACP
Colombia,Araracuara,Araracuara Airport,ACR
Russia,Achinsk,Achinsk Airport,ACS
United States of America,Waco,Waco Regional Airport,ACT
Panama,Mamitupu,Achutupu Airport,ACU
United States of America,Arcata/Eureka,California Redwood Coast-Humboldt County Airport,ACV
China,Xingyi,Xingyi Wanfenglin Airport,ACX
United States of America,Atlantic City,Atlantic City International Airport,ACY
Iran,Zabol,Zabol Airport,ACZ
Turkey,Seyhan,Adana Şakirpaşa Airport,ADA
Turkey,Gaziemir,Adnan Menderes International Airport,ADB
Papua New Guinea,Andekombe,Andakombe Airport,ADC
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,ADD
Yemen,Aden,Aden International Airport,ADE
Turkey,Adıyaman,Adıyaman Airport,ADF
United States of America,Adrian,Lenawee County Airport,ADG
Russia,Aldan,Aldan Airport,ADH
Namibia,Arandis,Arandis Airport,ADI
Jordan,Amman,Amman Civil (Marka International) Airport,ADJ
United States of America,Adak,Adak Airport,ADK
Australia,Adelaide,Adelaide International Airport,ADL
United States of America,Ardmore,Ardmore Municipal Airport,ADM
Australia,Andamooka,Andamooka Airport,ADO
Sri Lanka,Ampara,Ampara Airport,ADP
United States of America,Kodiak,Kodiak Airport,ADQ
United States of America,Andrews,Robert F Swinnie Airport,ADR
United States of America,Dallas,Addison Airport,ADS
United States of America,Ada,Ada Regional Airport,ADT
Iran,Ardabil,Ardabil Airport,ADU
Sudan,El Daein,El Daein Airport,ADV
United States of America,Camp Springs,Joint Base Andrews,ADW
United Kingdom,"Leuchars, Fife",Leuchars Station Airfield,ADX
South Africa,Alldays,Alldays Airport,ADY
Colombia,San Andrés,Gustavo Rojas Pinilla International Airport,ADZ
Kiribati,Abemama,Abemama Airport,AEA
China,Baise (Tianyang),Baise (Bose) Bama Airport,AEB
South Sudan,Adar,Adareil Airport,AEE
Indonesia,Padang Sidempuan,Aek Godang Airport,AEG
Chad,Abeche,Abeche Airport,AEH
Papua New Guinea,Aseki,Aseki Airport,AEK
United States of America,Albert Lea,Albert Lea Municipal Airport,AEL
Russia,Amgu,Amgu Airport,AEM
Mauritania,Aioun El Atrouss,Aioun el Atrouss Airport,AEO
Argentina,Buenos Aires,Jorge Newbery Airpark,AEP
China,Chifeng,Ar Horqin Airport,AEQ
Russia,Sochi,Sochi International Airport,AER
Norway,Ålesund,"Ålesund Airport, Vigra",AES
United States of America,Allakaket,Allakaket Airport,AET
Iran,Abu Musa,Abu Musa Island Airport,AEU
United States of America,Alexandria,Alexandria International Airport,AEX
Iceland,Akureyri,Akureyri Airport,AEY
Argentina,San Rafael,Suboficial Ay Santiago Germano Airport,AFA
South Africa,Port Alfred,Port Alfred Airport,AFD
United States of America,Colorado Springs,USAF Academy Airfield,AFF
Colombia,Amalfi,Amalfi Airport,AFI
Brazil,Alta Floresta,Piloto Osvaldo Marques Dias Airport,AFL
United States of America,Jaffrey,Jaffrey Airfield Silver Ranch Airport,AFN
United States of America,Afton,Afton Municipal Airport,AFO
Papua New Guinea,Afore,Afore Airstrip Airport,AFR
Uzbekistan,Zarafshan,Sugraly Airport,AFS
Solomon Islands,Bila,Afutara Aerodrome,AFT
United States of America,Fort Worth,Perot Field/Fort Worth Alliance Airport,AFW
Turkey,Afyonkarahisar,Afyon Air Base,AFY
Iran,Sabzevar,Sabzevar National Airport,AFZ
Morocco,Agadir (Temsia),Al Massira Airport,AGA
Germany,Augsburg,Augsburg Airport,AGB
United States of America,Pittsburgh,Allegheny County Airport,AGC
Indonesia,Anggi-Papua Island,Anggi Airport,AGD
Germany,Wangerooge,Wangerooge Airport,AGE
France,Agen/La Garenne,Agen-La Garenne Airport,AGF
Papua New Guinea,Angoram,Angoram Airport,AGG
Sweden,Ängelholm,Ängelholm-Helsingborg Airport,AGH
Suriname,Wageningen,Wageningen Airstrip,AGI
Japan,Aguni,Aguni Airport,AGJ
Papua New Guinea,Kagua,Kagua Airport,AGK
Papua New Guinea,,Wanigela Airport,AGL
United States of America,Magnolia,Magnolia Municipal Airport / Ralph C Weiser Field,AGO
Spain,Málaga,Málaga-Costa del Sol Airport,AGP
India,Agra,Agra Airport / Agra Air Force Station,AGR
United States of America,Augusta,Augusta Regional At Bush Field,AGS
Paraguay,Ciudad del Este,Aeropuerto Internacional Guaraní,AGT
Mexico,Aguascalientes,Aeropuerto Internacional Jesús Terán Peredo,AGU
Venezuela,Acarigua,Oswaldo Guevara Mujica Airport,AGV
Australia,Agnew,Agnew Airport,AGW
India,Agatti,Agatti Airport,AGX
Australia,Argyle Downs,Argyle Downs Airport,AGY
South Africa,Aggeneys,Aggeneys Airport,AGZ
Saudi Arabia,Abha,Abha International Airport,AHB
United States of America,Herlong,Amedee Army Air Field,AHC
United States of America,Ardmore,Ardmore Downtown Executive Airport,AHD
French Polynesia,Ahe Atoll,Ahe Airport,AHE
United States of America,Arapahoe,Arapahoe Municipal Airport,AHF
United States of America,Amery,Amery Municipal Airport,AHH
Indonesia,Amahai,Amahai Airport,AHI
China,Ngawa (Hongyuan),Hongyuan Airport,AHJ
Guyana,Aishalton,Aishalton Airport,AHL
United States of America,Ashland,Ashland Municipal Airport Sumner Parker Field,AHM
United States of America,Athens,Athens Ben Epps Airport,AHN
Italy,Alghero,Alghero-Fertilia Airport,AHO
Honduras,Ahuas,Ahuas Airport,AHS
Morocco,Al Hoceima,Cherif Al Idrissi Airport,AHU
Madagascar,Ambatolahy,Ambatolhy Airport,AHY
France,L'Alpe d'Huez,Altiport L'Alpe d'Huez - Henri GIRAUD,AHZ
United States of America,Alliance,Alliance Municipal Airport,AIA
Marshall Islands,Bigatyelang Island,Ailinglaplap Airok Airport,AIC
United States of America,Anderson,Anderson Municipal Darlington Field,AID
Papua New Guinea,Aiome,Aiome Airport,AIE
Brazil,Assis,Marcelo Pires Halzhausen Airport,AIF
Central African Republic,Yalinga,Yalinga Airport,AIG
Papua New Guinea,Aiambak,Aiambak Airport,AIH
Djibouti,Ali-Sabieh,Ali-Sabieh Airport,AII
United States of America,Aiken,Aiken Regional Airport,AIK
Panama,Isla Lorenzo Bello,Ailigandí Airport,AIL
Marshall Islands,Ailuk Island,Ailuk Airport,AIM
United States of America,Wainwright,Wainwright Airport,AIN
United States of America,Atlantic,Atlantic Municipal Airport,AIO
India,Adampur,Adampur Airport,AIP
Brazil,Aripuanã,Aripuanã Airport,AIR
Kiribati,Arorae Island,Arorae Island Airport,AIS
Cook Islands,Aitutaki,Aitutaki Airport,AIT
Cook Islands,Atiu Island,Enua Airport,AIU
United States of America,Aliceville,George Downer Airport,AIV
Namibia,Ai-Ais,Ai-Ais Airport,AIW
United States of America,Kaiser Lake Ozark,Lee C Fine Memorial Airport,AIZ
France,Ajaccio/Napoléon Bonaparte,Ajaccio-Napoléon Bonaparte Airport,AJA
Saudi Arabia,Al-Jawf,Al-Jawf Domestic Airport,AJF
Turkey,A?r?,A?r? Airport,AJI
Mauritania,Akjoujt,Akjoujt Airport,AJJ
Iran,Araak,Arak Airport,AJK
India,Aizawl (Lengpui),Lengpui Airport,AJL
Comoros,Ouani,Ouani Airport,AJN
Sweden,Arvidsjaur,Arvidsjaur Airport,AJR
Mexico,Mulegé,Punta Abreojos Airport,AJS
Brazil,Aracaju,Aracaju - Santa Maria International Airport,AJU
Niger,Agadez,Mano Dayak International Airport,AJY
China,Ankang (Hanbin),Ankang Fuqiang Airport,AKA
United States of America,Atka,Atka Airport,AKB
United States of America,Akron,Akron Fulton International Airport,AKC
India,Akola,Akola Airport,AKD
Gabon,Akieni,Akieni Airport,AKE
Libya,Kufra,Kufra Airport,AKF
Papua New Guinea,Anguganak,Anguganak Airport,AKG
Saudi Arabia,Al Kharj,Prince Sultan Air Base,AKH
United States of America,Akiak,Akiak Airport,AKI
Japan,Higashikagura,Asahikawa Airport,AKJ
United States of America,Akhiok,Akhiok Airport,AKK
New Zealand,Auckland,Auckland International Airport,AKL
Chad,ZaKouma,Zakuoma Airport,AKM
United States of America,King Salmon,King Salmon Airport,AKN
United States of America,Akron,Colorado Plains Regional Airport,AKO
United States of America,Anaktuvuk Pass,Anaktuvuk Pass Airport,AKP
Indonesia,Astraksetra,Gunung Batin Airport,AKQ
Nigeria,Akure,Akure Airport,AKR
Solomon Islands,Auki,Gwaunaru'u Airport,AKS
Cyprus,Akrotiri,RAF Akrotiri,AKT
China,Aksu (Onsu),Aksu Hongqipo Airport,AKU
Canada,Akulivik,Akulivik Airport,AKV
Iran,Aghajari,Aghajari Airport,AKW
Kazakhstan,Aktobe,Aktobe Airport,AKX
Myanmar,Sittwe,Sittwe Airport,AKY
Kazakhstan,Almaty,Almaty International Airport,ALA
United States of America,Albany,Albany International Airport,ALB
Spain,Alicante,Alicante-Elche Miguel Hernández Airport,ALC
Peru,Fortaleza,Alerta Airport,ALD
United States of America,Alpine,Alpine Casparis Municipal Airport,ALE
Norway,Alta,Alta Airport,ALF
Algeria,Algiers,Houari Boumediene Airport,ALG
Australia,Albany,Albany Airport,ALH
United States of America,Alice,Alice International Airport,ALI
South Africa,Alexander Bay,Alexander Bay Airport,ALJ
Italy,Villanova d'Albenga (SV),Riviera Villanova d'Albenga International Airport,ALL
United States of America,Alamogordo,Alamogordo White Sands Regional Airport,ALM
United States of America,Alton/St Louis,St Louis Regional Airport,ALN
United States of America,Waterloo,Waterloo Regional Airport,ALO
Syria,Aleppo,Aleppo International Airport,ALP
Brazil,Alegrete,Alegrete Novo Airport,ALQ
New Zealand,Alexandra,Alexandra Aerodrome,ALR
United States of America,Alamosa,San Luis Valley Regional Airport/Bergman Field,ALS
Brazil,Alenquer,Alenquer Municipal Airport,ALT
Somalia,Caluula,Caluula Airport,ALU
United States of America,Walla Walla,Walla Walla Regional Airport,ALW
United States of America,Alexander City,Thomas C Russell Field,ALX
United States of America,Amarillo,Rick Husband Amarillo International Airport,AMA
Madagascar,Ambilobe,Ambilobe Airport,AMB
Chad,Am Timan,Am Timan Airport,AMC
India,Ahmedabad,Sardar Vallabh Bhai Patel International Airport,AMD
Mozambique,Alto Molocue,Alto Molocue Airport,AME
Papua New Guinea,Ama,Ama Airport,AMF
Ethiopia,Arba Minch,Arba Minch Airport,AMH
Indonesia,Mataram,Selaparang Airport,AMI
Brazil,Almenara,Cirilo Queiróz Airport,AMJ
United States of America,Durango,Animas Air Park,AMK
Jordan,Amman,Queen Alia International Airport,AMM
United States of America,Alma,Gratiot Community Airport,AMN
Chad,Mao,Mao Airport,AMO
Madagascar,Ampanihy,Ampanihy Airport,AMP
Indonesia,Ambon,Pattimura International Airport,AMQ
Netherlands,Amsterdam,Amsterdam Airport Schiphol,AMS
Australia,Amata�,Amata Airport,AMT
Papua New Guinea,Amanab,Amanab Airport,AMU
Russia,Amderma,Amderma Airport,AMV
United States of America,Ames,Ames Municipal Airport,AMW
Australia,Ammaroo,Ammaroo Airport,AMX
Madagascar,Ambatomainty,Ambatomainty Airport,AMY
New Zealand,Manurewa,Ardmore Airport,AMZ
Kenya,Maasai Mara,Angama Airport,ANA
United States of America,Anniston,Anniston Regional Airport,ANB
United States of America,Anchorage,Ted Stevens Anchorage International Airport,ANC
United States of America,Anderson,Anderson Regional Airport,AND
France,"Marcé, Maine-et-Loire",Angers-Loire Airport,ANE
Chile,Antofagasta,Andrés Sabella Gálvez International Airport,ANF
France,Angoulême/Brie/Champniers,Angoulême-Brie-Champniers Airport,ANG
United States of America,Aniak,Aniak Airport,ANI
Republic of the Congo,Zanaga,Zanaga Airport,ANJ
Turkey,Ankara,Etimesgut Air Base,ANK
Angola,Andulo,Andulo Airport,ANL
Madagascar,Antsirabe,Antsirabe Airport,ANM
United States of America,Metlakatla,Annette Island Airport,ANN
Mozambique,Angoche,Angoche Airport,ANO
United States of America,Annapolis,Lee Airport,ANP
United States of America,Angola,Tri State Steuben County Airport,ANQ
Belgium,Antwerp,Antwerp International Airport (Deurne),ANR
Peru,Andahuaylas,Andahuaylas Airport,ANS
Antigua and Barbuda,Osbourn,V C Bird International Airport,ANU
United States of America,Anvik,Anvik Airport,ANV
United States of America,Ainsworth,Ainsworth Regional Airport,ANW
Norway,Andenes,"Andøya Airport, Andenes",ANX
United States of America,Anthony,Anthony Municipal Airport,ANY
Australia,Angus Downs Station,Angus Downs Airport,ANZ
Papua New Guinea,Annenberg,Annenberg  Airport,AOB
Germany,Nobitz,Leipzig–Altenburg Airport,AOC
Chad,Abou-Deïa,Abou-Deïa Airport,AOD
Turkey,Eskişehir,Anadolu Airport,AOE
China,Anshan,Anshan Teng'ao Airport / Anshan Air Base,AOG
United States of America,Lima,Lima Allen County Airport,AOH
Italy,Falconara Marittima (AN),Marche Airport,AOI
Japan,Aomori,Aomori Airport,AOJ
Greece,Karpathos Island,Karpathos Airport,AOK
Argentina,Paso de los Libres,Paso De Los Libres Airport,AOL
Oman,Adam,Adam Airport,AOM
United States of America,Altoona,Altoona Blair County Airport,AOO
Peru,Andoas,Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP
Malaysia,Alor Satar,Sultan Abdul Halim Airport,AOR
Italy,Saint-Christophe (AO),Aosta Corrado Gex Airport,AOT
Laos,Attopeu,Attopeu Airport,AOU
United States of America,Denver,Centennial Airport,APA
Bolivia,Apolo,Apolo Airport,APB
United States of America,Napa,Napa County Airport,APC
United States of America,Naples,Naples Municipal Airport,APF
United States of America,Aberdeen,Phillips Army Air Field,APG
United States of America,Bowling Green,Mary Walker LZ Airport,APH
Colombia,Apiay,Gomez Nino Apiay Air Base,API
China,Burang Town,Ali Pulan Airport,APJ
French Polynesia,Apataki,Apataki Airport,APK
Mozambique,Nampula,Nampula Airport,APL
United States of America,Alpena,Alpena County Regional Airport,APN
Colombia,Carepa,Antonio Roldán Betancur Airport,APO
Papua New Guinea,Asapa,Asapa Airport,APP
Brazil,Arapiraca,Arapiraca Airport,APQ
Papua New Guinea,April River,April River Airport,APR
Brazil,Anápolis,Anápolis Airport,APS
United States of America,Jasper,Marion County Airport - Brown Field,APT
Brazil,Apucarana,Captain João Busse Airport,APU
United States of America,Apple Valley,Apple Valley Airport,APV
Samoa,Apia,Faleolo International Airport,APW
Brazil,Arapongas,Arapongas Airport,APX
Brazil,Alto Parnaíba,Alto Parnaíba Airport,APY
Argentina,Zapala,Zapala Airport,APZ
Brazil,Araraquara,Araraquara Airport,AQA
Guatemala,Santa Cruz del Quiché,Quiché Airport,AQB
China,Anqing,Anqing Tianzhushan Airport / Anqing North Air Base,AQG
Saudi Arabia,Qaisumah,Al Qaisumah/Hafr Al Batin Airport,AQI
Jordan,Aqaba,Aqaba King Hussein International Airport,AQJ
Peru,Arequipa,Rodríguez Ballón International Airport,AQP
United States of America,Girdwood,Girdwood-Alyeska Airport,AQY
United States of America,New Iberia,Acadiana Regional Airport,ARA
United States of America,Ann Arbor,Ann Arbor Municipal Airport,ARB
United States of America,Arctic Village,Arctic Village Airport,ARC
Indonesia,Kabola,Alor Island - Mali Airport,ARD
Puerto Rico,Arecibo,Antonio Nery Juarbe Pol Airport,ARE
Colombia,Acaricuara,Acaricuara Airport,ARF
United States of America,Walnut Ridge,Walnut Ridge Regional Airport,ARG
Russia,Archangelsk,Talagi Airport,ARH
Chile,Arica,Chacalluta Airport,ARI
Tanzania,Arusha,Arusha Airport,ARK
Burkina Faso,Arly,Arly Airport,ARL
Australia,Armidale,Armidale Airport,ARM
Sweden,Stockholm,Stockholm-Arlanda Airport,ARN
Colombia,Arboletes,Arboletes Airport,ARO
Papua New Guinea,Aragip,Aragip Airport,ARP
Argentina,Alto Rio Senguerr,D. Casimiro Szlapelis Airport,ARR
Brazil,Aragarças,Aragarças Airport,ARS
United States of America,Watertown,Watertown International Airport,ART
Brazil,Araçatuba,Araçatuba Airport,ARU
United States of America,Woodruff,Lakeland Airport Noble F Lee Memorial Field,ARV
Romania,Arad,Arad International Airport,ARW
Brazil,Aracati,Aracati Dragão do Mar Regional Airport,ARX
Australia,Ararat,Ararat Airport,ARY
Angola,N'zeto,N'zeto Airport,ARZ
Eritrea,Asab,Assab International Airport,ASA
Turkmenistan,Ashgabat,Ashgabat International Airport,ASB
Bolivia,Ascensión de Guarayos,Ascención De Guarayos Airport,ASC
Bahamas,Andros,Andros Town Airport,ASD
United States of America,Aspen,Aspen-Pitkin County Airport (Sardy Field),ASE
Russia,Astrakhan,Astrakhan Narimanovo Boris M. Kustodiev International Airport,ASF
New Zealand,,Ashburton Aerodrome,ASG
United States of America,Nashua,Nashua Airport / Boire Field,ASH
"Saint Helena, Ascension and Tristan da Cunha",Cat Hill,RAF Ascension Island,ASI
Japan,Amami,Amami Airport,ASJ
Ivory Coast,Yamoussoukro,Yamoussoukro Airport,ASK
United States of America,Marshall,Harrison County Airport,ASL
Eritrea,Asmara,Asmara International Airport,ASM
United States of America,Talladega,Talladega Municipal Airport,ASN
Ethiopia,Asosa,Asosa Airport,ASO
Australia,Alice Springs,Alice Springs Airport,ASP
United States of America,Austin,Austin Airport,ASQ
Turkey,Kayseri,Kayseri Erkilet Airport,ASR
South Africa,Arathusa,Arathusa Safari Lodge Airport,ASS
United States of America,Astoria,Astoria Regional Airport,AST
Paraguay,Asunción,Silvio Pettirossi International Airport.,ASU
Kenya,Amboseli National Park,Amboseli Airport,ASV
Egypt,Aswan,Aswan International Airport,ASW
United States of America,Ashland,John F Kennedy Memorial Airport,ASX
United States of America,Ashley,Ashley Municipal Airport,ASY
Papua New Guinea,Asirim,Asirim Airport,ASZ
Peru,Anta,Comandante FAP German Arias Graziani Airport,ATA
Sudan,Atbara,Atbara Airport,ATB
Bahamas,Arthur's Town,Arthur's Town Airport,ATC
Solomon Islands,Atoifi,Uru Harbour Airport,ATD
United States of America,Antlers,Antlers Municipal Airport,ATE
Ecuador,Ambato,Chachoán Regional Airport,ATF
Pakistan,Kamra,Minhas Air Base,ATG
Greece,Spata-Artemida,Athens Eleftherios Venizelos International Airport,ATH
Uruguay,Artigas,Artigas International Airport,ATI
Madagascar,Antsirabe,Antsirabe Airport,ATJ
United States of America,Atqasuk,Atqasuk Edward Burnell Sr Memorial Airport,ATK
United States of America,Atlanta,Hartsfield Jackson Atlanta International Airport,ATL
Brazil,Altamira,Altamira Interstate Airport,ATM
Papua New Guinea,Namatanai,Namatanai Airport,ATN
United States of America,Albany,Ohio University Airport,ATO
Papua New Guinea,Aitape,Aitape Airport,ATP
India,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ
Mauritania,Atar,Atar International Airport,ATR
United States of America,Artesia,Artesia Municipal Airport,ATS
United States of America,Atmautluak,Atmautluak Airport,ATT
Chad,Ati,Ati Airport,ATV
United States of America,Appleton,Appleton International Airport,ATW
Kazakhstan,Atbasar,Atbasar Airport,ATX
United States of America,Watertown,Watertown Regional Airport,ATY
Egypt,Asyut,Asyut International Airport,ATZ
Aruba,Oranjestad,Queen Beatrix International Airport,AUA
Colombia,Arauca,Santiago Perez Airport,AUC
Australia,Augustus,Augustus Downs Airport,AUD
Egypt,Ras Abu Rudeis,Abu Rudeis Airport,AUE
France,"Appoigny, Yonne",Auxerre-Branches Airport,AUF
United States of America,Augusta,Augusta State Airport,AUG
United Arab Emirates,Abu Dhabi,Zayed International Airport,AUH
Papua New Guinea,Aua Island,Aua Island Airport,AUI
Papua New Guinea,Ambunti,Ambunti Airport,AUJ
United States of America,Alakanuk,Alakanuk Airport,AUK
Marshall Islands,Aur Atoll,Aur Island Airport,AUL
United States of America,Austin,Austin Municipal Airport,AUM
United States of America,Auburn,Auburn Municipal Airport,AUN
United States of America,Auburn,Auburn University Regional Airport,AUO
Papua New Guinea,Agaun,Agaun Airport,AUP
French Polynesia,Hiva Oa Island,Hiva Oa-Atuona Airport,AUQ
France,Aurillac,Aurillac Airport,AUR
United States of America,Austin,Austin Bergstrom International Airport,AUS
East Timor,Vila,Atauro Airport,AUT
Australia,Aurukun,Aurukun Airport,AUU
Papua New Guinea,Aumo,Aumo Airport,AUV
United States of America,Wausau,Wausau Downtown Airport,AUW
Brazil,Araguaína,Araguaína Airport,AUX
Vanuatu,Anatom Island,Aneityum Airport,AUY
United States of America,Chicago/Aurora,Aurora Municipal Airport,AUZ
China,Anshun (Xixiu),Anshun Huangguoshu Airport,AVA
Italy,Aviano (PN),Aviano Air Base,AVB
Australia,Auvergne,Auvergne Airport,AVG
Cuba,Ciro Redondo,Máximo Gómez Airport,AVI
Mongolia,Arvaikheer,Arvaikheer Airport,AVK
United States of America,Asheville,Asheville Regional Airport,AVL
France,"Avignon, Vaucluse",Avignon-Caumont Airport,AVN
United States of America,Avon Park,Avon Park Executive Airport,AVO
United States of America,Wilkes-Barre/Scranton,Wilkes Barre Scranton International Airport,AVP
Portugal,Vila Franca de Xira,Alverca Air Base,AVR
Solomon Islands,Guadalcanal�,Avu Avu Airport,AVU
Australia,Lara,Avalon Airport,AVV
United States of America,Marana,Marana Regional Airport,AVW
United States of America,Avalon,Catalina Airport,AVX
Ethiopia,Hawassa,Hawassa International Airport,AWA
Papua New Guinea,Awaba,Awaba Airport,AWB
Vanuatu,Aniwa,Aniwa Airport,AWD
Gabon,Wonga Wongué Presidential Reserve,Alowe Airport,AWE
United States Minor Outlying Islands,Wake Island,Wake Island Airfield,AWK
United States of America,West Memphis,West Memphis Municipal Airport,AWM
Australia,Alton Downs,Alton Downs Airport,AWN
Australia,Austral Downs,Austral Downs Airport,AWP
Iran,Ahvaz,Lieutenant General Qasem Soleimani International Airport,AWZ
Anguilla,The Valley,Clayton J Lloyd International Airport,AXA
United States of America,Alexandria Bay,Maxson Airfield,AXB
Australia,Aramac,Aramac Airport,AXC
Greece,Alexandroupolis,Alexandroupoli Democritus Airport,AXD
Brazil,Xanxerê,Xanxerê Airport,AXE
China,Bayanhot,Alxa Left Banner Bayanhot Airport,AXF
United States of America,Algona,Algona Municipal Airport,AXG
Japan,Amakusa,Amakusa Airport,AXJ
Yemen,Ataq,Ataq Airport,AXK
Australia,Alexandria Homestead,Alexandria Homestead Airport,AXL
Colombia,Armenia,El Eden Airport,AXM
United States of America,Alexandria,Chandler Field,AXN
Bahamas,Spring Point,Spring Point Airport,AXP
French Polynesia,,Arutua Airport,AXR
United States of America,Altus,Altus Quartz Mountain Regional Airport,AXS
Japan,Akita,Akita Airport,AXT
Ethiopia,Axum,Axum Airport,AXU
United States of America,Wapakoneta,Neil Armstrong Airport,AXV
United States of America,Angel Fire,Angel Fire Airport,AXX
Colombia,Ayapel,Ayapel Airport,AYA
Colombia,Ayacucho,Ayacucho Airport,AYC
Australia,Alroy Downs,Alroy Downs Airport,AYD
Colombia,San Vicente Del Caguán,Yaguara Airport,AYG
Colombia,Yari,Yari Airport,AYI
India,Faizabad,Ayodhya Airport,AYJ
Kazakhstan,Arkalyk,Arkalyk North Airport,AYK
Australia,Anthony Lagoon,Anthony Lagoon Airport,AYL
China,Anyang,Anyang Yindu Airport,AYN
Paraguay,Ayolas,Aeropuerto Nacional de Juan De Ayolas,AYO
Peru,Ayacucho,Air Force Colonel Alfredo Mendivil Duarte Airport,AYP
Australia,Yulara,Ayers Rock Connellan Airport,AYQ
Australia,Ayr,Ayr Airport,AYR
United States of America,Waycross,Waycross Ware County Airport,AYS
Turkey,Antalya,Antalya International Airport,AYT
Papua New Guinea,Aiyura Valley,Aiyura Airport,AYU
Indonesia,Ayawasi,Ayawasi Airport,AYW
Peru,Atalaya,Teniente General Gerardo Pérez Pinedo Airport,AYX
United States of America,Mesa,Phoenix–Mesa Gateway Airport,AZA
Papua New Guinea,Amazon Bay,Amazon Bay Airport,AZB
Iran,Yazd,Shahid Sadooghi Airport,AZD
Mexico,Apatzingán,Apatzingán - Pablo L. Sidar Airport,AZG
United Arab Emirates,Abu Dhabi,Al Bateen Executive Airport,AZI
Brazil,Sapezal,Fazenda Tucunaré Airport,AZL
Uzbekistan,Andizhan,Andizhan Airport,AZN
United States of America,Kalamazoo,Kalamazoo Battle Creek International Airport,AZO
Mexico,Atizapán de Zaragoza,Aeropuerto Nacional Jorge Jiménez Cantú,AZP
Algeria,Adrar,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR
Dominican Republic,Samana,Samaná El Catey International Airport,AZS
Colombia,Zapatoca,Zapatoca Airport,AZT
Angola,Ambriz,Ambriz Airport,AZZ
Papua New Guinea,"Bialla, Matalilu, Ewase",Bialla Airport,BAA
United States of America,Beale Air Force Base,Beale Air Force Base,BAB
Colombia,Barranca De Upia,Barranca De Upia Airport,BAC
